id,hash,timestamp,network,token,value,valueUSD,gasPrice,gasUsed,gasFeeETH,method,status,blockNumber,confirmations,from,to
8,0xa025d69bcae85b8bf2d8b485d6c40e809d6c3214d3fdef78de741f0729eebb33,2024-12-28T12:13:00Z,BSC,ETH,23.012177,851742.19,74.56,224101,0.016709,flashLoan,confirmed,19153673,36540,0x552404a928af0730659fffc8421d4d7c62e6ad55,0xcd711fdebe671b0f74ea038d7741ae1c9522c703
20,0xeb9aee9c3cd7d783fcbaa4bac79ef0c9fd76b36b24d592c23839a75f6674807d,2024-12-23T14:38:00Z,Arbitrum,ETH,379.349721,8346875.58,44.54,65630,0.002923,burn,confirmed,19093494,5191,0x034214bc2073b56c0ba913efe989833b409d1956,0x6688a6e7f52f6d5561790709c7158ca703549d66
28,0xa7450c8e3ec429cea086fd51912b8cd46d729f2c6b6b7bac7c6682a4c4ac952b,2024-12-20T00:15:00Z,Optimism,ETH,58.876498,1276334.62,91.02,170852,0.015551,mint,pending,19136779,0,0x738076737a335ca8c76bd8bc187efe87359c6eb2,0x7c0407d03e3576853b0886955483a369a1368bdd
39,0x234b8dd8ef2c4b24f49f612bb16ed18e6fadf14c61cc2f11c434adb50b516c07,2024-12-16T07:55:00Z,Arbitrum,ETH,239.505704,7937449.96,65.72,327979,0.021555,addLiquidity,pending,19112649,0,0x7c797411afbd1e14ea5754fe580ea347e8357dd0,0xcebba670b815e521767db2136f0f38ad1fa899ab
61,0x7f45895df966d7e38054c55d8e2009d3788fa85c076299ee88227f3d188ed09a,2024-12-06T14:19:00Z,BSC,ETH,235.666941,8530107.64,15.19,64395,0.000978,approve,confirmed,19198796,47511,0x4dfdc23fb0ab060876b403b221fcdaf9c8c24942,0xe5d9c82a82675e1d4bae158d72a4a0f735e7aac3
101,0xef3363bce8afd70f85d04df8e49bab9019c1573741dc38c597f7075574ad744a,2024-11-25T13:18:00Z,Arbitrum,ETH,29.57866,1038994.51,92.35,137330,0.012682,flashLoan,confirmed,19047323,8949,0xb6aaa1c634e0ebadfe0166e8068d97ad0ba6b14d,0xdca22db2ae6258c9a418451cea016ee323ba521a
103,0x8f3d5d55855a6dfe11e014e8277979befe89c220063ccf0293859c48a32e6cda,2024-11-25T01:29:00Z,Arbitrum,ETH,39.952687,1445202.07,53.5,155491,0.008319,stake,confirmed,19137090,33926,0x7ace16973055cab880d66810c75d21a11c1937f1,0xa09412185cb9f66832f8a97734d2dd21c5ec5595
137,0x252d4f3fb8a80d04838861e0a08fc7c4b007fd3118689fbde67a26498ac4a374,2024-11-16T00:46:00Z,Ethereum,ETH,467.650522,13813226.01,26.37,112493,0.002966,transfer,confirmed,19199897,7194,0xe66014863673ea226053b2073271f393afaa4758,0x9ab4752093c538fe5f5e8ae199467721afe9b4e8
144,0xd1b114f1efebcbb5bc7210cc45a4b8e4a905f36ee4ffae0c42a8ab9a42039d91,2024-11-15T05:18:00Z,Polygon,ETH,486.545742,21651333.19,42.73,89415,0.003821,stake,confirmed,19177125,19017,0xf152ccb5baa2e3b5df7f556a8da5bc1e8136d88e,0x4dbe975f4be98cf7a5e5f6a34c3211beef9a0c49
165,0x581462eb59ec9d590dab433dd4427d0a6c8422a40bf37a6c69f43755d4736496,2024-11-09T00:06:00Z,BSC,ETH,31.5104,1148654.57,76.4,231270,0.017669,transfer,pending,19082601,0,0x2f9243756fddf8a88c6579ae25108cd3bb054712,0x63f97be978b97d444618142edbb60a283585501e
172,0xcc68e379271e07b08ce412c012175199791ba09cad52dfeb194057c251020392,2024-11-07T08:31:00Z,Optimism,ETH,31.748735,969593.49,10.65,232699,0.002478,mint,confirmed,19090642,14512,0xcdc162fa5de4fd6d7e1d033ef3816a0120920923,0x1c7cce319f2b7545fe47a65a85cb23df2b1a1da6
180,0x01af89a1a8c93470c00ccfa008a17a7a7574f0b2789a6940ad2feeeb43842ff7,2024-11-02T23:24:00Z,Polygon,ETH,67.406335,1910905.56,5.89,347281,0.002045,approve,confirmed,19181099,40030,0x515a7dd9737b7e21982a171f58e354473987aee2,0x064d7e7e44e79e0265d86c26035d1ceea45b2584
222,0xe51674e231612cf0d03e23a53059df69493ce0384cf4a9969583d2f558b181bf,2024-10-18T01:48:00Z,Arbitrum,ETH,437.160506,4232098.09,48.24,35596,0.001717,bridgeOut,confirmed,19177286,4094,0x16cd813a6b20ad2f5738ad0952f378bc9b689f66,0xdcc5750e824e838e5d8be6bc98d1fcfa5b217c79
223,0xcda14bf834e2dba5dc6b02ba025b3ba92aa461e29b99318ae78918e94b9b2e5b,2024-10-18T00:01:00Z,Arbitrum,ETH,290.556391,12390153.93,102.75,245613,0.025237,stake,confirmed,19031230,34529,0xbc054c006cf725fa1da661ec6e64e5979b1e98e9,0x385327be0c3a370eab2b7b99fafb8a504ace3e65
